"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A560","2020-02-25 00:00:00","405.000","226.000","0.500","14.400","1.000","974.800","","0.000","-99.000","-99.000","-99.000","23.600","","14.400",""
"C0X190","2020-02-25 00:00:00","10.000","50.000","0.600","20.500","0.850","1018.200","","0.000","-99.000","-99.000","-99.000","25.200","","18.000",""
"C0S950","2020-02-25 00:00:00","415.000","230.000","1.800","17.800","0.920","973.900","","0.000","-99.000","-99.000","-99.000","23.900","","16.500",""
"C0A880","2020-02-25 00:00:00","6.000","188.000","1.100","21.700","0.770","1017.800","","6.000","7.100","166.000","","23.800","","18.000",""
"C0I530","2020-02-25 00:00:00","3014.000","222.000","6.600","5.000","0.290","705.100","","0.000","-99.000","-99.000","-99.000","14.500","","5.000",""
"C0M670","2020-02-25 00:00:00","43.000","29.000","0.500","18.600","0.900","1014.300","","0.000","-99.000","-99.000","-99.000","25.100","","16.100",""
"C0Z061","2020-02-25 00:00:00","174.000","119.000","0.700","17.800","0.990","1004.900","","1.000","-99.000","-99.000","-99.000","26.100","","17.200",""
"C0M730","2020-02-25 00:00:00","40.000","0.000","0.000","19.500","0.860","1014.300","","0.000","-99.000","-99.000","-99.000","28.300","","16.300",""
"C0U750","2020-02-25 00:00:00","398.000","204.000","4.500","18.300","0.910","974.300","","0.500","-99.000","-99.000","-99.000","18.700","","15.500",""
"C0I370","2020-02-25 00:00:00","671.000","210.000","0.300","16.100","0.900","944.800","","0.000","-99.000","-99.000","-99.000","25.400","","12.300",""
"C0S750","2020-02-25 00:00:00","2280.000","266.000","1.500","4.800","1.000","778.500","","0.000","-99.000","-99.000","-99.000","15.800","","1.500",""
"C0R650","2020-02-25 00:00:00","29.000","0.000","0.100","20.700","0.990","1017.300","","0.000","-99.000","-99.000","-99.000","28.100","","16.600",""
"C0E740","2020-02-25 00:00:00","27.000","115.000","0.900","17.800","1.000","1012.000","","0.000","-99.000","-99.000","-99.000","23.000","","12.700",""
"C0AI20","2020-02-25 00:00:00","25.000","231.000","2.300","18.000","0.930","1017.500","","0.000","-99.000","-99.000","-99.000","24.800","","16.700",""
"C0E550","2020-02-25 00:00:00","84.000","93.000","1.400","17.300","1.000","1010.100","","0.000","-99.000","-99.000","-99.000","23.200","","13.600",""
"C0X060","2020-02-25 00:00:00","19.000","42.000","0.700","17.600","0.950","1019.000","","0.000","-99.000","-99.000","-99.000","27.200","","14.600",""
"C0R510","2020-02-25 00:00:00","31.000","87.000","1.100","21.400","0.860","1016.300","","0.000","-99.000","-99.000","-99.000","28.500","","17.600",""
"C0AC60","2020-02-25 00:00:00","55.000","0.000","0.200","18.900","0.990","1013.900","","0.000","-99.000","-99.000","-99.000","27.300","","15.900",""
"C0UA70","2020-02-25 00:00:00","547.000","161.000","2.800","16.900","0.990","958.700","","9.500","-99.000","-99.000","-99.000","17.500","","15.400",""
"C0G740","2020-02-25 00:00:00","24.000","41.000","1.000","17.900","0.910","1017.300","","0.000","-99.000","-99.000","-99.000","22.000","","17.600",""
"C0F9N0","2020-02-25 00:00:00","75.000","109.000","0.800","19.200","0.900","1010.800","","0.000","-99.000","-99.000","-99.000","26.400","","17.000",""
"C0F9T0","2020-02-25 00:00:00","111.000","310.000","0.600","18.400","0.920","1006.200","","0.000","-99.000","-99.000","-99.000","25.300","","17.100",""
"C0S710","2020-02-25 00:00:00","382.000","16.000","0.600","16.500","0.960","979.200","","0.000","-99.000","-99.000","-99.000","23.600","","15.200",""
"C0M680","2020-02-25 00:00:00","37.000","350.000","0.500","18.900","0.960","1017.000","","0.000","-99.000","-99.000","-99.000","26.500","","16.700",""
"C0X220","2020-02-25 00:00:00","26.000","56.000","1.300","18.400","0.890","1016.400","","0.000","-99.000","-99.000","-99.000","23.800","","17.100",""
"C0R560","2020-02-25 00:00:00","22.000","41.000","0.400","21.300","0.830","1017.500","","0.000","-99.000","-99.000","-99.000","27.200","","17.700",""
"C0F9P0","2020-02-25 00:00:00","26.000","70.000","2.600","18.000","0.990","1017.600","","0.000","-99.000","-99.000","-99.000","23.500","","17.200",""
"C0O970","2020-02-25 00:00:00","71.000","114.000","0.900","17.500","0.960","1011.600","","0.000","-99.000","-99.000","-99.000","29.400","","15.000",""
"C0F0B0","2020-02-25 00:00:00","311.000","86.000","0.600","16.700","0.970","984.200","","0.000","-99.000","-99.000","-99.000","23.700","","13.300",""
"C0R700","2020-02-25 00:00:00","19.000","76.000","4.900","24.100","0.580","1017.300","","0.000","-99.000","-99.000","-99.000","25.100","","20.500",""
"C0R620","2020-02-25 00:00:00","34.000","66.000","2.400","23.400","0.810","1017.000","","0.000","-99.000","-99.000","-99.000","25.100","","22.400",""
"C0C660","2020-02-25 00:00:00","176.000","198.000","1.400","17.500","0.980","999.900","","0.000","-99.000","-99.000","-99.000","24.300","","15.600",""
"C0SA10","2020-02-25 00:00:00","411.000","309.000","1.400","18.400","0.880","975.300","","0.000","-99.000","-99.000","-99.000","25.400","","16.400",""
"C0M740","2020-02-25 00:00:00","15.000","21.000","0.400","18.100","0.930","1017.200","","0.000","-99.000","-99.000","-99.000","25.300","","16.200",""
"C0K460","2020-02-25 00:00:00","60.000","348.000","0.300","18.300","0.920","1012.000","","0.000","-99.000","-99.000","-99.000","24.500","","16.600",""
"C0X100","2020-02-25 00:00:00","10.000","61.000","1.500","21.200","0.870","1016.800","","0.000","-99.000","-99.000","-99.000","26.100","","18.400",""
"C0K560","2020-02-25 00:00:00","117.000","255.000","0.500","16.900","0.930","1006.900","","0.000","-99.000","-99.000","-99.000","27.000","","14.900",""
"C0R150","2020-02-25 00:00:00","105.000","0.000","0.200","20.400","0.990","1006.200","","0.000","-99.000","-99.000","-99.000","30.700","","16.900",""
"C0S690","2020-02-25 00:00:00","522.000","0.000","0.100","17.700","0.930","962.500","","0.000","-99.000","-99.000","-99.000","22.500","","16.600",""
"C0U870","2020-02-25 00:00:00","474.000","0.000","0.000","17.700","0.830","967.400","","1.000","-99.000","-99.000","-99.000","19.600","","15.800",""
"C0A520","2020-02-25 00:00:00","48.000","252.000","0.600","19.300","0.920","1014.900","","0.000","-99.000","-99.000","-99.000","27.600","","16.400",""
"C0X130","2020-02-25 00:00:00","27.000","35.000","0.900","20.500","0.890","1015.800","","0.000","-99.000","-99.000","-99.000","27.500","","17.000",""
"C0V400","2020-02-25 00:00:00","56.000","83.000","1.200","19.700","0.930","1012.600","","0.000","-99.000","-99.000","-99.000","27.000","","16.600",""
"C0UA40","2020-02-25 00:00:00","1121.000","190.000","0.500","13.800","0.970","895.600","","0.500","-99.000","-99.000","-99.000","17.100","","12.500",""
"C0G720","2020-02-25 00:00:00","50.000","1.000","0.600","17.800","0.930","1013.600","","0.000","-99.000","-99.000","-99.000","24.200","","16.200",""
"C0G890","2020-02-25 00:00:00","24.000","0.000","0.000","18.300","1.000","1016.600","","0.000","-99.000","-99.000","-99.000","23.400","","17.700",""
"C0I540","2020-02-25 00:00:00","3344.000","-99.000","-99.000","6.800","0.020","686.600","","-99.000","-99.000","-99.000","-99.000","15.600","","6.500",""
"C0K390","2020-02-25 00:00:00","31.000","38.000","0.800","18.100","0.930","1016.400","","0.000","-99.000","-99.000","-99.000","24.400","","16.800",""
"C0T9A0","2020-02-25 00:00:00","498.000","221.000","1.400","16.600","0.990","965.000","","1.000","-99.000","-99.000","-99.000","20.700","","15.100",""
"C0AH40","2020-02-25 00:00:00","426.000","359.000","1.200","18.600","0.860","970.100","","0.000","-99.000","-99.000","-99.000","25.300","","18.000",""
"C0X280","2020-02-25 00:00:00","22.000","69.000","1.100","18.600","0.910","1017.200","","0.000","-99.000","-99.000","-99.000","23.400","","17.200",""
"C0V620","2020-02-25 00:00:00","18.000","26.000","0.400","19.600","0.890","1017.600","","0.000","-99.000","-99.000","-99.000","24.800","","16.900",""
"C0H960","2020-02-25 00:00:00","120.000","211.000","0.400","18.900","1.000","1004.800","","0.000","-99.000","-99.000","-99.000","27.000","","15.900",""
"C0M530","2020-02-25 00:00:00","1385.000","134.000","0.900","16.200","0.610","873.700","","0.000","-99.000","-99.000","-99.000","20.800","","10.500",""
"C0R170","2020-02-25 00:00:00","26.000","0.000","0.000","20.100","1.000","1016.800","","0.000","-99.000","-99.000","-99.000","29.700","","16.600",""
"C0I420","2020-02-25 00:00:00","305.000","0.000","0.000","17.600","0.900","984.800","","0.000","-99.000","-99.000","-99.000","27.300","","13.500",""
"C0A640","2020-02-25 00:00:00","241.000","0.000","0.000","17.700","0.860","994.500","","0.000","-99.000","-99.000","-99.000","25.100","","17.700",""
"C0A930","2020-02-25 00:00:00","216.000","286.000","2.200","17.800","0.900","993.300","","0.000","-99.000","-99.000","-99.000","24.000","","15.600",""
"C0F9M0","2020-02-25 00:00:00","230.000","34.000","0.400","18.100","0.980","993.000","","0.000","-99.000","-99.000","-99.000","23.800","","15.600",""
"C0AC40","2020-02-25 00:00:00","1079.000","213.000","3.500","14.200","0.990","899.100","","0.500","-99.000","-99.000","-99.000","20.100","","12.600",""
"C0AI00","2020-02-25 00:00:00","188.000","209.000","1.000","19.100","0.860","999.200","","0.000","-99.000","-99.000","-99.000","28.400","","17.700",""
"C0T9M0","2020-02-25 00:00:00","92.000","298.000","2.600","19.400","0.890","1012.700","","1.000","-99.000","-99.000","-99.000","26.000","","17.900",""
"C0S960","2020-02-25 00:00:00","32.000","247.000","4.300","21.000","0.790","1017.600","","0.000","-99.000","-99.000","-99.000","24.600","","19.900",""
"C0K430","2020-02-25 00:00:00","30.000","30.000","1.500","17.900","1.000","1017.300","","0.000","-99.000","-99.000","-99.000","23.900","","16.800",""
"C0Z170","2020-02-25 00:00:00","199.000","0.000","0.200","19.000","0.990","1000.500","","2.000","-99.000","-99.000","-99.000","26.500","","17.800",""
"C0Z100","2020-02-25 00:00:00","36.000","225.000","0.700","19.500","0.970","1019.000","","2.500","-99.000","-99.000","-99.000","25.100","","17.700",""
"C0U710","2020-02-25 00:00:00","1942.000","0.000","0.100","8.900","0.970","812.800","","0.000","-99.000","-99.000","-99.000","15.600","","7.200",""
"C0SA30","2020-02-25 00:00:00","92.000","281.000","2.000","21.300","0.750","1011.800","","0.000","-99.000","-99.000","-99.000","24.100","","18.400",""
"C0V500","2020-02-25 00:00:00","6.000","56.000","0.700","22.000","0.820","1017.200","","0.000","-99.000","-99.000","-99.000","25.700","","20.000",""
"CM0160","2020-02-25 00:00:00","159.000","124.000","0.300","17.500","0.960","1003.000","","0.000","-99.000","-99.000","-99.000","28.600","","14.500",""
"C0V350","2020-02-25 00:00:00","36.000","255.000","0.500","18.700","0.930","1016.700","","0.000","-99.000","-99.000","-99.000","30.000","","15.500",""
"C0W120","2020-02-25 00:00:00","58.000","-99.000","-99.000","19.100","0.880","1013.100","","0.000","-99.000","-99.000","-99.000","21.500","","18.300",""
"C0R470","2020-02-25 00:00:00","103.000","157.000","0.500","20.900","0.880","1008.200","","0.000","-99.000","-99.000","-99.000","29.600","","16.300",""
"C0M770","2020-02-25 00:00:00","164.000","0.000","0.000","18.400","0.960","1000.400","","0.000","-99.000","-99.000","-99.000","26.100","","16.400",""
"C0S930","2020-02-25 00:00:00","248.000","251.000","1.600","17.700","0.900","994.000","","0.000","-99.000","-99.000","-99.000","24.800","","16.900",""
"C0F9Y0","2020-02-25 00:00:00","3313.000","221.000","4.900","9.400","0.040","689.800","","0.000","-99.000","-99.000","-99.000","16.400","","5.500",""
"C0E790","2020-02-25 00:00:00","344.000","143.000","0.900","17.300","0.970","979.800","","0.000","-99.000","-99.000","-99.000","24.000","","15.000",""
"C0O810","2020-02-25 00:00:00","161.000","21.000","1.200","19.000","0.990","1002.000","","0.000","-99.000","-99.000","-99.000","28.500","","15.900",""
"C0R520","2020-02-25 00:00:00","18.000","88.000","1.000","21.200","0.910","1017.600","","0.000","-99.000","-99.000","-99.000","26.700","","17.500",""
"C0G880","2020-02-25 00:00:00","92.000","72.000","0.900","19.400","0.950","1008.900","","0.000","-99.000","-99.000","-99.000","26.500","","17.300",""
"C0R260","2020-02-25 00:00:00","76.000","0.000","0.200","19.900","0.920","1010.500","","0.000","-99.000","-99.000","-99.000","27.500","","18.100",""
"C0U950","2020-02-25 00:00:00","1012.000","154.000","6.400","13.800","1.000","908.700","","23.500","-99.000","-99.000","-99.000","14.400","","13.000",""
"C0O860","2020-02-25 00:00:00","38.000","0.000","0.000","19.300","0.990","1014.400","","0.000","-99.000","-99.000","-99.000","27.400","","16.000",""
"C0R320","2020-02-25 00:00:00","7.000","67.000","7.400","23.000","0.720","1018.500","","0.000","13.400","66.000","","27.100","","21.200",""
"C0S980","2020-02-25 00:00:00","901.000","33.000","1.600","16.400","0.820","920.700","","4.000","-99.000","-99.000","-99.000","19.000","","14.100",""
"C0X110","2020-02-25 00:00:00","20.000","108.000","0.400","21.400","0.770","1017.600","","0.000","-99.000","-99.000","-99.000","25.900","","18.700",""
"C0V310","2020-02-25 00:00:00","46.000","0.000","0.000","19.800","0.880","1013.500","","0.000","-99.000","-99.000","-99.000","29.500","","16.600",""
"C0G620","2020-02-25 00:00:00","110.000","288.000","1.100","16.600","0.990","1006.800","","0.000","-99.000","-99.000","-99.000","27.700","","15.000",""
"C0AD50","2020-02-25 00:00:00","84.000","272.000","0.400","18.900","1.000","1011.000","","0.000","-99.000","-99.000","-99.000","26.400","","15.800",""
"C0A9A0","2020-02-25 00:00:00","24.000","0.000","0.000","20.000","0.820","1017.400","","0.000","-99.000","-99.000","-99.000","26.400","","20.000",""
"C0O830","2020-02-25 00:00:00","127.000","0.000","0.000","17.900","0.990","1005.200","","0.000","-99.000","-99.000","-99.000","29.400","","15.300",""
"C0S760","2020-02-25 00:00:00","1621.000","176.000","1.400","10.100","1.000","845.300","","1.000","-99.000","-99.000","-99.000","17.000","","9.200",""
"C0X160","2020-02-25 00:00:00","26.000","357.000","0.400","20.200","1.000","1016.900","","0.000","-99.000","-99.000","-99.000","27.300","","17.600",""
"C0F970","2020-02-25 00:00:00","145.000","105.000","1.700","18.200","0.880","1002.100","","0.000","-99.000","-99.000","-99.000","25.800","","15.600",""
"C0R440","2020-02-25 00:00:00","1654.000","122.000","3.500","11.000","1.000","839.800","","1.000","-99.000","-99.000","-99.000","16.100","","9.600",""
"C0M690","2020-02-25 00:00:00","33.000","43.000","1.100","18.900","0.930","1015.000","","0.000","-99.000","-99.000","-99.000","25.800","","16.000",""
"C0V690","2020-02-25 00:00:00","30.000","55.000","1.700","21.400","0.850","1016.500","","0.000","-99.000","-99.000","-99.000","24.200","","19.500",""
"C0Z210","2020-02-25 00:00:00","126.000","0.000","0.000","18.300","0.990","1008.600","","1.000","-99.000","-99.000","-99.000","24.100","","16.900",""
"C0U770","2020-02-25 00:00:00","5.000","331.000","3.800","19.400","0.990","1020.600","","15.000","-99.000","-99.000","-99.000","23.100","","17.700",""
"C0Z080","2020-02-25 00:00:00","298.000","185.000","0.600","17.900","0.990","987.300","","0.500","-99.000","-99.000","-99.000","26.300","","16.300",""
"C0G640","2020-02-25 00:00:00","17.000","0.000","0.000","17.100","0.950","1020.400","","0.000","-99.000","-99.000","-99.000","23.700","","16.300",""
"C0X200","2020-02-25 00:00:00","61.000","150.000","1.200","17.000","0.990","1012.300","","0.000","-99.000","-99.000","-99.000","27.000","","14.200",""
"C0U900","2020-02-25 00:00:00","63.000","152.000","1.300","19.000","0.990","1014.700","","0.500","-99.000","-99.000","-99.000","22.800","","16.400",""
"C0Z230","2020-02-25 00:00:00","31.000","286.000","3.100","20.900","0.750","1018.500","","12.000","-99.000","-99.000","-99.000","23.000","","18.000",""
"C0F9O0","2020-02-25 00:00:00","175.000","0.000","0.200","18.700","1.000","999.200","","0.000","-99.000","-99.000","-99.000","26.100","","15.900",""
"C0C540","2020-02-25 00:00:00","46.000","225.000","1.400","18.700","0.930","1014.800","","0.000","-99.000","-99.000","-99.000","25.800","","16.500",""
